시군구,수요_3.5T,이전 RDC,변경 RDC,이전 시간_분,변경 시간_분,시간 증가_분,이전 거리_km,변경 거리_km,거리 증가_km
충청남도 천안시 서북구,1.4,평택RDC,계룡RDC,24.9,75.6,50.7,21.4,86.7,65.3
충청남도 당진시,1.0,평택RDC,계룡RDC,48.7,89.6,40.9,58.2,110.0,51.8
충청남도 천안시 동남구,3.6,평택RDC,계룡RDC,29.3,66.4,37.1,33.0,77.6,44.6
충청남도 아산시,1.6,평택RDC,계룡RDC,35.7,72.0,36.3,32.3,83.9,51.6
충청남도 서산시,0.9,평택RDC,계룡RDC,65.2,100.8,35.6,79.1,123.4,44.3
충청남도 태안군,0.2,평택RDC,계룡RDC,83.2,118.8,35.6,97.3,141.6,44.3
충청북도 음성군,2.5,평택RDC,계룡RDC,56.8,87.4,30.6,65.4,101.7,36.3
충청북도 진천군,0.6,평택RDC,계룡RDC,43.1,69.8,26.7,48.2,89.4,41.2
충청남도 예산군,0.1,평택RDC,계룡RDC,58.0,69.8,11.8,58.5,80.7,22.2
충청남도 홍성군,0.7,평택RDC,계룡RDC,72.2,80.9,8.7,77.7,94.2,16.5
